video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link
815258968,sd,540p,video/mp4,960,540,540p,30,259730948,247.7MB,https://player.vimeo.com/progressive_redirect/playback/815258968/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=d7f2cde81f222b7cb082bca3b788a4fb21cdf805df8e13f855403c24bbfc1ab4
815258968,hls,adaptive,video/mp4,,,240p,30,123838018,118.1MB,https://player.vimeo.com/external/815258968.m3u8?s=f0c657a0be1526d554a064ec2172ba582b02cad0&oauth2_token_id=1643955558
867116429,sd,240p,video/mp4,426,240,240p,30,144011588,137.34MB,https://player.vimeo.com/progressive_redirect/playback/867116429/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=0a25b2c5fe8a88fb9e8fbe1decdbf2e2ad22d4d5a15517daedb2dc92dc56dc5d
867116429,hd,1080p,video/mp4,1920,1080,1080p,30,728187225,694.45MB,https://player.vimeo.com/progressive_redirect/playback/867116429/rendition/1080p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=68232e562e8cdfada71734f82159d16f26ca22814173b849177888601b681c6c
867116429,sd,540p,video/mp4,960,540,540p,30,320465515,305.62MB,https://player.vimeo.com/progressive_redirect/playback/867116429/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=cab8a2fbe6f215b8ed77b2a4021db4e804a6c1107a292343e9e61a48053e88fa
867116429,hd,720p,video/mp4,1280,720,720p,30,453945015,432.92MB,https://player.vimeo.com/progressive_redirect/playback/867116429/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=db28db11c36afe961ee0d6cf441ce47efd62306fa5b88c627c9cfa1a52808ea2
867116429,sd,360p,video/mp4,640,360,360p,30,207327444,197.72MB,https://player.vimeo.com/progressive_redirect/playback/867116429/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=dfe3cea580a812046a9b500e55e61ee3f436349269cd8b5f2a94a3e5405e43db
867116429,hls,adaptive,video/mp4,,,240p,30,144011588,137.34MB,https://player.vimeo.com/external/867116429.m3u8?s=1d8daf2892f41f7aca4183bcb71fe0be67a48e6a&oauth2_token_id=1643955558
816019880,sd,540p,video/mp4,960,540,540p,25,156772114,149.51MB,https://player.vimeo.com/progressive_redirect/playback/816019880/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=357b662420d72403ff3effbe7e434906d09e7fd6bc1f7ba41f0fb35636ca30a8
816019880,sd,240p,video/mp4,426,240,240p,25,95644583,91.21MB,https://player.vimeo.com/progressive_redirect/playback/816019880/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=c4020f46982843caf39c5ce842f89cd1b1d1f6c796cd422e028a607d65c78eed
