video_id,quality,rendition,type,width,height,public_name,fps,size,size_short,link,created_at
885204349,sd,540p,video/mp4,960,540,540p,30,24594230,23.45MB,https://player.vimeo.com/progressive_redirect/playback/885204349/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=78dbd5445486be606de3a4f87148917a441870d5dfa4bc60791ce112c82c557a,2023-11-16T13:13:12+00:00
885204349,hd,720p,video/mp4,1280,720,720p,30,28665192,27.34MB,https://player.vimeo.com/progressive_redirect/playback/885204349/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2a3238ca4ffc1ea7f82627db149cc394ed1513f1aaeeb3d8d5e64efd03844825,2023-11-16T13:13:09+00:00
885204349,sd,360p,video/mp4,640,360,360p,30,19297190,18.4MB,https://player.vimeo.com/progressive_redirect/playback/885204349/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=3fc115ed0847347b55256a62f148d2ae3bba76d2b835b0e0b730d25e05c43f6d,2023-11-16T13:12:47+00:00
885204349,hls,adaptive,video/mp4,,,240p,30,16364295,15.61MB,https://player.vimeo.com/external/885204349.m3u8?s=18741e205757aad31a88f315133bbf4287af22eb&oauth2_token_id=1643955558,2023-11-16T13:12:41+00:00
885653928,hd,720p,video/mp4,1280,720,720p,30.00663129973475,2748328926,2.56GB,https://player.vimeo.com/progressive_redirect/playback/885653928/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=2597c428b4cfa70753ede1444f3baa03f10f8c15acfe33125e7ba72ee5a77d21,2023-11-17T16:42:54+00:00
885653928,sd,360p,video/mp4,640,360,360p,30.00663129973475,634809662,605.4MB,https://player.vimeo.com/progressive_redirect/playback/885653928/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=78329ede839e35bec57932cb03b052ffbf4f84560b65a75c8ca9a665eb893698,2023-11-17T16:42:06+00:00
885653928,sd,540p,video/mp4,960,540,540p,30.00663129973475,1761397459,1.64GB,https://player.vimeo.com/progressive_redirect/playback/885653928/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=e39f910bd4c7cf19597176e401856cf102290c6bec0f6c6d74e86045836fe599,2023-11-17T16:42:20+00:00
885653928,sd,240p,video/mp4,426,240,240p,30.00663129973475,361344087,344.6MB,https://player.vimeo.com/progressive_redirect/playback/885653928/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=66e13ff5dbe0558b371c2fc9b0f9c0528fc0983c8b7ba69c1bdc688c30de5534,2023-11-17T16:41:56+00:00
885653928,hls,adaptive,video/mp4,,,720p,30.00663129973475,2748328926,2.56GB,https://player.vimeo.com/external/885653928.m3u8?s=a8beb4753de78df8f706ce7c254a02e2ae4547b4&oauth2_token_id=1643955558,2023-11-17T16:42:54+00:00
885920232,sd,540p,video/mp4,960,540,540p,30.00663129973475,718123974,684.86MB,https://player.vimeo.com/progressive_redirect/playback/885920232/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=7c8205cf1ab451037b791406f1f9331a86fcf2b4b62ad34c67262da79d9c1947,2023-11-18T12:55:48+00:00
885920232,sd,240p,video/mp4,426,240,240p,30.00663129973475,147191848,140.37MB,https://player.vimeo.com/progressive_redirect/playback/885920232/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5197fef708d8a50ea36ad424e5fb2318d3c8e67de46a3a61e7ff94caf2536431,2023-11-18T12:55:45+00:00
885920232,sd,360p,video/mp4,640,360,360p,30.00663129973475,258679424,246.7MB,https://player.vimeo.com/progressive_redirect/playback/885920232/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=57468ac6d16fc2a9d43cb0fa24eea323837a75ad90e25c8225f5954312f3a360,2023-11-18T12:55:48+00:00
885920232,hd,720p,video/mp4,1280,720,720p,30.00663129973475,1123072293,1.05GB,https://player.vimeo.com/progressive_redirect/playback/885920232/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=648fb7ab8d1ad378941e389c7dfb1dca0669e9423b093621e42c53760592a756,2023-11-18T12:56:23+00:00
885920232,hls,adaptive,video/mp4,,,540p,30.00663129973475,718123974,684.86MB,https://player.vimeo.com/external/885920232.m3u8?s=6ccf607ab337189de591b09a909a00154cde4160&oauth2_token_id=1643955558,2023-11-18T12:55:48+00:00
886101229,hd,720p,video/mp4,1280,720,720p,30,46724643,44.56MB,https://player.vimeo.com/progressive_redirect/playback/886101229/rendition/720p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5d9c9fb50bb00ae144e87342fe8d79af71574f0c8ab00d0a8bab14a1ec1e11ac,2023-11-19T13:20:25+00:00
886101229,sd,360p,video/mp4,640,360,360p,30,30765779,29.34MB,https://player.vimeo.com/progressive_redirect/playback/886101229/rendition/360p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=923a0e8b52921b875e70c4fd6d3bcb74cdfc17a3510b548e187d5eb323965a58,2023-11-19T13:19:11+00:00
886101229,sd,240p,video/mp4,426,240,240p,30,25699968,24.51MB,https://player.vimeo.com/progressive_redirect/playback/886101229/rendition/240p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=98e886eba9bfd61b7c97a65ccd2eed4144308f176339ad75f221c4f2597062eb,2023-11-19T13:19:04+00:00
886101229,sd,540p,video/mp4,960,540,540p,30,39166610,37.35MB,https://player.vimeo.com/progressive_redirect/playback/886101229/rendition/540p/file.mp4?loc=external&oauth2_token_id=1643955558&signature=5ba2a1a4398f11e401ec4f05e39e878c7500ea99c5b62c4a1188977ededa4e70,2023-11-19T13:20:45+00:00
886101229,source,source,video/mp4,1280,720,source,29.999670072254176,105268211,100.39MB,https://player.vimeo.com/progressive_redirect/playback/886101229/rendition/source/file.mp4?loc=external&oauth2_token_id=1643955558&signature=99e6a0a53e1fb864930e4cb72819ae690cbfe3367bcf5a3c2a8ae5cd8fbb5e09,2023-11-19T13:17:52+00:00
